# Time-averaged data for fix myat2
# TimeStep v_delta_x
18100 3.0321
18200 3.56508
18300 4.08092
18400 3.89637
18500 3.8221
18600 4.00459
18700 3.7633
18800 3.75197
18900 3.95356
19000 4.20078
19100 4.2221
19200 3.91732
19300 4.02835
19400 3.80227
19500 3.99883
19600 3.97675
19700 3.55423
19800 3.57893
19900 4.37535
20000 4.42692
20100 4.106
20200 4.28458
20300 4.27351
20400 4.1136
20500 4.15449
20600 4.19799
20700 4.20024
20800 4.33468
20900 4.6474
21000 4.64401
21100 4.72687
21200 4.61191
21300 4.27645
21400 4.38307
21500 4.13463
21600 4.34927
21700 4.3622
21800 4.13892
21900 4.55152
22000 4.77359
22100 4.35588
22200 3.9457
22300 3.81219
22400 3.54186
22500 3.45439
22600 3.04287
22700 2.80158
22800 2.59507
22900 2.54542
23000 2.68703
23100 2.91954
23200 3.15205
23300 3.02312
23400 3.21724
23500 3.71277
23600 4.21033
23700 4.2282
23800 4.46863
23900 4.40905
24000 4.42726
24100 4.28465
24200 3.98131
24300 4.11656
24400 3.63018
24500 3.14943
24600 2.95152
24700 2.88428
24800 2.79404
24900 2.92004
25000 3.088
25100 3.17602
25200 3.1067
25300 3.45273
25400 3.49373
25500 3.96888
25600 3.94463
25700 4.37524
25800 4.91615
25900 4.73962
26000 4.67329
26100 4.11242
26200 3.66649
26300 3.971
26400 4.00906
26500 4.11554
26600 4.12631
26700 3.98445
26800 4.12701
26900 4.28045
27000 3.86054
27100 3.94723
27200 4.11202
27300 3.7526
27400 3.58768
27500 3.42391
27600 3.8664
27700 4.09275
27800 3.83888
27900 3.47021
28000 2.85789
28100 2.63305
28200 2.43958
28300 2.32092
28400 2.59783
28500 3.31537
28600 3.96413
28700 4.33865
28800 4.23309
28900 4.03814
29000 4.06225
29100 4.22486
29200 4.22667
29300 4.45844
29400 4.43872
29500 4.30754
29600 4.12215
29700 3.78506
29800 3.945
29900 3.9918
30000 3.8416
30100 3.77954
30200 3.57957
30300 3.90052
30400 4.2799
30500 4.37291
30600 4.00338
30700 3.87383
30800 3.94702
30900 3.75999
31000 3.96175
31100 4.28186
31200 4.27777
31300 4.50739
31400 4.72467
31500 4.59152
31600 3.85038
31700 3.43046
31800 3.45889
31900 3.75889
32000 4.0521
32100 3.85133
32200 3.45798
32300 3.86678
32400 4.16115
32500 4.27211
32600 4.75302
32700 4.92834
32800 4.76189
32900 4.73324
33000 4.49414
33100 4.60741
33200 4.88285
33300 5.00939
33400 5.0292
33500 4.6162
33600 4.75768
33700 5.06412
33800 5.20819
33900 5.16127
34000 5.00389
34100 4.84647
34200 4.6696
34300 4.52412
34400 4.86708
34500 4.50512
34600 4.45042
34700 4.55312
34800 4.88436
34900 5.23086
35000 5.31587
35100 5.31183
35200 5.02613
35300 5.09559
35400 5.03873
35500 5.04336
35600 5.15942
35700 4.90016
35800 5.09183
35900 5.49957
36000 5.56001
36100 5.47566
36200 5.16222
36300 5.08531
36400 5.25587
36500 5.19904
36600 4.99349
36700 4.83868
36800 4.76241
36900 4.6836
37000 4.65
37100 4.38648
37200 3.86385
37300 4.17695
37400 3.98476
37500 3.88255
37600 4.03896
37700 4.36335
37800 4.63188
37900 4.74491
38000 5.1195
38100 5.06139
38200 5.08473
38300 5.13376
38400 4.6582
38500 4.30771
38600 4.27639
38700 4.3409
38800 4.62207
38900 4.90688
39000 5.1617
39100 5.01131
39200 4.61362
39300 4.42431
39400 4.43241
39500 4.8461
39600 5.06625
39700 5.27165
39800 5.71816
39900 5.81208
40000 6.305
40100 6.38794
40200 5.52404
40300 4.95638
40400 5.06569
40500 4.88257
40600 4.60169
40700 4.42725
40800 4.08161
40900 4.09346
41000 4.29316
41100 4.8982
41200 5.25387
41300 5.41708
41400 5.44285
41500 5.48729
41600 4.99511
41700 4.6884
41800 4.3331
41900 4.10595
42000 4.11234
42100 4.48789
42200 4.50004
42300 4.64147
42400 4.93017
42500 5.42288
42600 5.47005
42700 4.92758
42800 5.34724
42900 5.30594
43000 4.74688
43100 4.2393
43200 4.33648
43300 4.43146
43400 4.49442
43500 4.05167
43600 4.13986
43700 3.95847
43800 4.15544
43900 4.06006
44000 4.04388
44100 3.91762
44200 3.70088
44300 3.48986
44400 3.35815
44500 3.52731
44600 3.42611
44700 3.51126
44800 3.87983
44900 4.30279
45000 4.2434
45100 4.29959
45200 4.9454
45300 5.50516
45400 5.1707
45500 4.60645
45600 4.09791
45700 3.65882
45800 3.21245
45900 2.93519
46000 2.62891
46100 2.75979
46200 2.98714
46300 3.46461
46400 4.29375
46500 5.30244
46600 5.64317
46700 5.65795
46800 5.49847
46900 5.32889
47000 5.73727
47100 5.8957
47200 6.26074
47300 6.81779
47400 6.8479
47500 6.5977
47600 6.66196
47700 6.7973
47800 7.51223
47900 7.68654
48000 7.62417
48100 7.49231
48200 7.78956
48300 7.87456
48400 7.8229
48500 7.86776
48600 7.95049
48700 7.94273
48800 7.96131
48900 8.00846
49000 8.16906
49100 8.37265
49200 8.40039
49300 8.31997
49400 8.09672
49500 8.19814
49600 8.33426
49700 8.45739
49800 8.11154
49900 7.59765
50000 7.37776
50100 7.53875
50200 7.29755
50300 7.26859
50400 7.34891
50500 6.91758
50600 6.58967
50700 6.63399
50800 6.93241
50900 7.2046
51000 7.8682
51100 8.14901
51200 8.31995
51300 8.68763
51400 8.63702
51500 8.85811
51600 9.12837
51700 8.9962
51800 8.93651
51900 8.8161
52000 9.14783
52100 9.01564
52200 8.6779
52300 8.08347
52400 7.98092
52500 8.76643
52600 8.71371
52700 8.95872
52800 9.07285
52900 9.10248
53000 9.15496
53100 9.14865
53200 8.81915
53300 8.70459
53400 8.89476
53500 9.36234
53600 9.6976
53700 9.9407
53800 10.1198
53900 10.1015
54000 10.5356
54100 11.1194
54200 11.0134
54300 10.7146
54400 10.372
54500 10.0833
54600 10.535
54700 10.3388
54800 9.86056
54900 9.62281
55000 9.89325
55100 9.95036
55200 9.98475
55300 9.84575
55400 9.8887
55500 10.0644
55600 9.83239
55700 9.68682
55800 9.85896
55900 10.257
56000 10.4723
56100 10.1189
56200 9.88431
56300 9.22223
56400 8.45217
56500 8.68087
56600 9.5679
56700 9.61995
56800 9.34612
56900 9.08404
57000 9.15121
57100 8.68581
57200 7.77952
57300 7.46654
57400 7.30261
57500 7.65396
57600 7.84107
57700 7.87328
57800 8.03092
57900 8.02503
58000 7.62497
58100 7.27043
58200 7.25605
58300 7.61962
58400 7.46223
58500 7.39939
58600 7.82314
58700 8.44445
58800 8.67446
58900 8.44225
59000 8.35857
59100 8.48388
59200 8.58603
59300 8.48058
59400 8.37777
59500 8.72041
59600 8.79555
59700 9.02854
59800 9.04004
59900 8.66356
60000 8.50778
60100 8.74265
60200 8.74053
60300 8.43663
60400 8.18434
60500 8.24867
60600 8.28497
60700 8.52798
60800 8.92876
60900 9.3717
61000 9.71224
61100 9.801
61200 9.75957
61300 9.53312
61400 9.91825
61500 10.161
61600 9.74516
61700 9.13901
61800 8.87517
61900 8.9329
62000 9.01821
62100 9.19314
62200 9.45035
62300 9.55914
62400 9.58127
62500 9.14011
62600 8.96903
62700 9.28327
62800 9.96683
62900 10.2889
63000 10.6583
63100 11.1635
63200 11.4061
63300 10.8595
63400 10.0312
63500 9.73029
63600 9.74865
63700 9.8084
63800 9.88494
63900 9.51971
64000 9.27605
64100 8.73404
64200 8.19576
64300 7.72699
64400 7.57962
64500 7.58742
64600 7.84551
64700 8.28348
64800 8.28579
64900 7.86654
65000 7.41591
65100 7.62538
65200 7.99383
65300 8.28474
65400 8.29374
65500 8.59174
65600 9.19941
65700 9.22894
65800 9.64693
65900 10.0052
66000 9.77777
66100 9.07191
66200 8.77161
66300 8.32852
66400 7.53102
66500 7.26032
66600 6.97289
66700 7.26828
66800 7.72239
66900 7.69135
67000 7.33938
67100 7.30605
67200 7.04841
67300 7.09381
67400 7.15559
67500 6.9485
67600 6.88437
67700 7.20238
67800 7.76253
67900 7.75247
68000 7.84862
68100 7.82671
68200 8.2382
68300 8.62212
68400 8.74868
68500 8.46759
68600 7.98817
68700 7.75423
68800 7.6286
68900 7.97141
69000 8.42555
69100 8.91901
69200 9.41284
69300 9.45349
69400 9.17081
69500 9.29999
69600 9.36624
69700 9.15321
69800 8.86145
69900 8.88453
70000 9.02462
70100 9.6258
70200 9.75956
70300 9.84882
70400 9.88936
70500 10.32
70600 10.4721
70700 10.6594
70800 10.8874
70900 10.6054
71000 10.44
71100 10.0925
71200 9.80227
71300 9.54091
71400 9.36591
71500 9.01387
71600 8.81929
71700 8.97493
71800 8.90976
71900 8.91527
72000 9.2086
72100 9.37146
72200 9.16342
72300 8.42577
72400 8.04215
72500 8.42421
72600 9.13762
72700 9.40208
72800 9.4996
72900 9.94776
73000 10.2699
73100 10.2928
73200 10.2432
73300 10.159
73400 10.3037
73500 9.64231
73600 8.76591
73700 9.03495
73800 9.35569
73900 9.30929
74000 9.14286
74100 8.94524
74200 9.1985
74300 9.69966
74400 9.99866
74500 10.0079
74600 10.4531
74700 10.7379
74800 10.5146
74900 10.3242
75000 10.7686
75100 11.0387
75200 11.0485
75300 10.6039
75400 10.5124
75500 10.7359
75600 10.6431
75700 10.4801
75800 10.5149
75900 10.7442
76000 11.0697
76100 11.1491
76200 11.2996
76300 11.1541
76400 10.6928
76500 10.95
76600 11.1902
76700 10.7825
76800 10.8604
76900 10.6043
77000 10.5143
77100 10.1684
77200 9.71644
77300 9.94223
77400 10.2456
77500 10.392
77600 10.5645
77700 10.8385
77800 10.7885
77900 10.807
78000 10.5295
78100 10.1584
78200 9.80874
78300 9.23016
78400 9.45676
78500 10.1468
78600 10.5975
78700 10.7948
78800 10.6605
78900 10.0277
79000 9.54541
79100 9.81338
79200 9.93406
79300 9.82991
79400 9.22029
79500 8.79391
79600 9.14194
79700 9.03777
79800 8.70467
79900 8.71241
80000 8.99942
80100 9.47171
80200 9.80963
80300 9.71324
80400 8.85246
80500 8.30396
80600 8.12906
80700 8.41062
80800 8.58486
80900 8.85634
81000 8.23025
81100 7.42479
81200 7.11628
81300 6.61765
81400 6.65305
81500 6.79884
81600 6.7421
81700 6.82923
81800 6.86697
81900 7.56705
82000 8.1606
82100 8.87807
82200 9.49355
82300 9.19545
82400 8.908
82500 9.32914
82600 10.2116
82700 11.2147
82800 11.3313
82900 10.8788
83000 10.4066
83100 10.4456
83200 10.957
83300 11.4488
83400 11.4772
83500 11.6214
83600 11.5207
83700 11.3203
83800 11.0061
83900 10.0144
84000 9.18931
84100 8.96716
84200 9.40692
84300 9.40104
84400 9.1772
84500 9.16633
84600 9.36121
84700 9.75291
84800 10.3117
84900 10.1426
85000 9.93329
85100 9.96107
85200 10.4107
85300 10.8381
85400 10.6126
85500 10.2697
85600 9.92775
85700 9.77133
85800 10.2004
85900 9.97114
86000 10.1399
86100 10.0979
86200 10.0125
86300 10.2589
86400 10.5788
86500 11.208
86600 11.2427
86700 10.8931
86800 10.5575
86900 10.106
87000 10.1275
87100 10.3223
87200 10.8466
87300 11.7805
87400 12.668
87500 12.5854
87600 12.2272
87700 11.2353
87800 10.2282
87900 10.0589
88000 9.93233
88100 9.11498
88200 9.10749
88300 9.53491
88400 9.71971
88500 9.66904
88600 10.3194
88700 10.6558
88800 10.3992
88900 10.2154
89000 9.8837
89100 9.78648
89200 8.84813
89300 8.2899
89400 8.35334
89500 8.15462
89600 8.18298
89700 8.3889
89800 8.63706
89900 8.99593
90000 9.47675
90100 9.45101
90200 8.70671
90300 8.83813
90400 8.69047
90500 8.52057
90600 8.27201
90700 8.33782
90800 8.82252
90900 9.15704
91000 9.31421
91100 9.2003
91200 9.13828
91300 8.77353
91400 8.60181
91500 8.24979
91600 8.05698
91700 8.34363
91800 8.59352
91900 8.91784
92000 9.00359
92100 9.57051
92200 9.46355
92300 9.70744
92400 10.0261
92500 9.93689
92600 10.201
92700 10.4997
92800 11.1724
92900 11.2024
93000 10.854
93100 10.6138
93200 10.4484
93300 10.5929
93400 10.831
93500 10.9913
93600 10.6509
93700 10.8593
93800 10.9608
93900 11.0208
94000 10.9483
94100 11.0431
94200 11.1886
94300 11.2366
94400 11.2527
94500 11.4099
94600 11.0372
94700 11.6631
94800 11.7919
94900 11.1908
95000 10.5252
95100 10.0074
95200 9.58823
95300 9.48024
95400 9.2732
95500 9.44957
95600 9.43242
95700 9.68604
95800 10.2123
95900 10.6125
96000 11.0833
96100 10.8848
96200 10.0997
96300 10.018
96400 10.2173
96500 10.0666
96600 10.289
96700 10.7271
96800 11.0198
96900 11.0256
97000 11.2817
97100 11.2844
97200 11.0967
97300 11.1431
97400 11.3729
97500 11.4993
97600 11.3969
97700 11.6654
97800 12.3156
97900 12.8852
98000 13.0974
98100 13.3035
98200 13.7869
98300 14.0543
98400 13.8672
98500 14.5308
98600 14.4336
98700 14.278
98800 14.1931
98900 14.0035
99000 13.8369
99100 13.5879
99200 13.2824
99300 13.055
99400 12.9408
99500 12.7831
99600 12.6788
99700 13.1115
99800 13.3915
99900 13.1343
100000 12.7233
100100 12.6075
100200 13.0972
100300 13.0368
100400 12.9286
100500 12.6127
100600 12.3811
100700 12.8281
100800 13.5564
100900 14.1671
101000 13.9904
101100 14.4738
101200 15.3748
101300 15.8726
101400 16.6196
101500 17.4739
101600 17.3872
101700 16.9719
101800 17.0487
101900 17.265
102000 18.0463
102100 18.6935
102200 18.4846
102300 18.0494
102400 17.815
102500 18.0258
102600 18.2674
102700 18.7819
102800 18.8985
102900 18.7053
103000 18.4067
103100 18.5839
103200 18.8859
103300 19.0252
103400 19.3248
103500 19.2788
103600 19.2605
103700 19.0703
103800 19.0251
103900 19.3147
104000 19.332
104100 19.4497
104200 19.7429
104300 20.1106
104400 20.2425
104500 19.6199
104600 19.2841
104700 19.384
104800 19.3555
104900 19.1885
105000 19.4654
105100 19.7325
105200 19.8995
105300 19.7829
105400 19.6086
105500 19.9048
105600 19.8232
105700 19.8525
105800 19.9074
105900 19.9468
106000 19.9306
106100 19.8925
106200 20.1103
106300 19.828
106400 19.6782
106500 19.6859
106600 19.6619
106700 19.7526
106800 20.0506
106900 20.5413
107000 20.5516
107100 20.4937
107200 20.594
107300 20.2797
107400 20.0721
107500 20.3609
107600 20.6421
107700 20.9183
107800 21.2638
107900 21.1011
108000 20.5883
108100 20.6843
108200 20.7075
108300 20.4194
108400 20.0655
108500 20.4364
108600 20.5085
108700 20.5322
108800 20.7009
108900 20.9182
109000 21.0857
109100 21.1112
109200 21.0696
109300 21.0921
109400 21.4763
109500 21.5583
109600 21.4
109700 21.3131
109800 21.0775
109900 20.9614
110000 20.9856
110100 21.0201
110200 20.7169
110300 20.813
110400 20.9811
110500 21.3634
110600 21.8184
110700 21.9796
110800 21.9559
110900 21.8427
111000 21.3517
111100 20.8931
111200 20.1602
111300 19.9701
111400 19.5659
111500 19.2826
111600 19.589
111700 19.8227
111800 20.0097
111900 20.0415
112000 20.2453
112100 21.0149
112200 21.1044
112300 21.2135
112400 21.442
112500 21.4755
112600 21.4868
112700 21.2577
112800 21.4313
112900 21.7602
113000 21.5418
113100 20.9696
113200 20.8479
113300 20.7126
113400 20.4506
113500 20.3467
113600 20.5531
113700 20.6907
113800 20.6351
113900 21.0134
114000 21.3728
114100 21.6721
114200 21.4651
114300 21.6318
114400 21.7949
114500 21.6601
114600 21.8972
114700 21.6706
114800 20.9484
114900 20.6646
115000 20.6733
115100 20.1212
115200 19.9839
115300 20.0035
115400 19.954
115500 20.2062
115600 20.0778
115700 20.291
115800 20.6104
115900 20.7882
116000 20.4341
116100 20.5066
116200 20.5903
116300 20.2862
116400 19.8114
116500 19.7755
116600 19.9975
116700 20.4837
116800 20.526
116900 20.7948
